datetime,sigma0_39_168_2023,lia_39_168_2023,sigma0_39_66_2023,lia_39_66_2023,sigma0_39_15_2023,lia_39_15_2023,sigma0_39_117_2023,lia_39_117_2023,afternoon_ascending_sigma0,morning_descending_sigma0,afternoon_ascending_lia,morning_descending_lia
2024-03-18 17:30:00,,,,,,,-10.125353020599304,31.71819305419922,-10.125353020599304,,32.0,
2024-03-22 05:30:00,-10.039937909361864,42.041934967041016,,,,,,,,-10.039937909361864,,42.0
2024-03-23 17:30:00,,,,,-9.7369983966094,40.74142074584961,,,-9.7369983966094,,41.0,
2024-03-27 05:30:00,,,-9.422472962683065,32.83735656738281,,,,,,-9.422472962683065,,33.0
2024-03-30 17:30:00,,,,,,,-11.044192983942096,31.71990776062012,-11.044192983942096,,32.0,
2024-04-03 05:30:00,-11.181367028037863,42.04032897949219,,,,,,,,-11.181367028037863,,42.0
2024-04-04 17:30:00,,,,,-12.525855202152144,40.74232864379883,,,-12.525855202152144,,41.0,
2024-04-08 05:30:00,,,-11.618611179151795,32.8471565246582,,,,,,-11.618611179151795,,33.0
2024-04-11 17:30:00,,,,,,,-14.357256489897004,31.67867660522461,-14.357256489897004,,32.0,
2024-04-15 05:30:00,-16.8829729096438,42.05107116699219,,,,,,,,-16.8829729096438,,42.0
2024-04-16 17:30:00,,,,,-17.706045878449096,40.7345085144043,,,-17.706045878449096,,41.0,
2024-04-20 05:30:00,,,-15.051501357397086,32.82416534423828,,,,,,-15.051501357397086,,33.0
2024-04-23 17:30:00,,,,,,,-13.48684821119863,31.693641662597656,-13.48684821119863,,32.0,
2024-04-27 05:30:00,-14.248608338532776,42.03304290771485,,,,,,,,-14.248608338532776,,42.0
2024-04-28 17:30:00,,,,,-14.969013096250736,40.73715972900391,,,-14.969013096250736,,41.0,
2024-05-02 05:30:00,,,-13.600056133938988,32.84727478027344,,,,,,-13.600056133938988,,33.0
2024-05-05 17:30:00,,,,,,,-17.589053509284362,31.70489501953125,-17.589053509284362,,32.0,
2024-05-09 05:30:00,-17.74133137021226,42.05188751220703,,,,,,,,-17.74133137021226,,42.0
2024-05-10 17:30:00,,,,,-20.547512627034195,40.73062515258789,,,-20.547512627034195,,41.0,
2024-05-14 05:30:00,,,-16.766256356898555,32.830902099609375,,,,,,-16.766256356898555,,33.0
2024-05-17 17:30:00,,,,,,,-18.008448185371456,31.704164505004883,-18.008448185371456,,32.0,
2024-05-21 05:30:00,-19.65007976652368,42.05849456787109,,,,,,,,-19.65007976652368,,42.0
2024-05-22 17:30:00,,,,,-19.86352419977204,41.003849029541016,,,-19.86352419977204,,41.0,
2024-05-26 05:30:00,,,-19.960681767942084,32.83332443237305,,,,,,-19.960681767942084,,33.0
2024-05-29 17:30:00,,,,,,,-17.00825191955469,31.698240280151367,-17.00825191955469,,32.0,
2024-06-02 05:30:00,-19.64472963764536,42.05192947387695,,,,,,,,-19.64472963764536,,42.0
2024-06-03 17:30:00,,,,,-17.678818775326476,40.72437286376953,,,-17.678818775326476,,41.0,
2024-06-07 05:30:00,,,-16.899495299011498,32.83612823486328,,,,,,-16.899495299011498,,33.0
2024-06-10 17:30:00,,,,,,,-13.04041895015718,31.68769836425781,-13.04041895015718,,32.0,
2024-06-14 05:30:00,-18.000719739768407,42.05290222167969,,,,,,,,-18.000719739768407,,42.0
2024-06-15 17:30:00,,,,,-10.02182501510866,40.72724151611328,,,-10.02182501510866,,41.0,
2024-06-19 05:30:00,,,-10.421016512344224,32.83340072631836,,,,,,-10.421016512344224,,33.0
2024-06-22 17:30:00,,,,,,,-12.762945131023685,31.685800552368164,-12.762945131023685,,32.0,
2024-06-26 05:30:00,-12.256132976494488,42.194332122802734,,,,,,,,-12.256132976494488,,42.0
2024-07-01 05:30:00,,,-9.8214244220886,32.84053421020508,,,,,,-9.8214244220886,,33.0
2024-07-04 17:30:00,,,,,,,-4.47257582826286,31.68209457397461,-4.47257582826286,,32.0,
2024-07-08 05:30:00,-10.86820273938782,42.18947982788086,,,,,,,,-10.86820273938782,,42.0
2024-07-09 17:30:00,,,,,-9.486044206503609,40.72034454345703,,,-9.486044206503609,,41.0,
2024-07-13 05:30:00,,,-8.378294154428884,32.84180450439453,,,,,,-8.378294154428884,,33.0
2024-07-16 17:30:00,,,,,,,-5.021338121922664,31.69109535217285,-5.021338121922664,,32.0,
2024-07-20 05:30:00,-9.853577061406988,42.194915771484375,,,,,,,,-9.853577061406988,,42.0
2024-07-21 17:30:00,,,,,-9.75638883029941,40.72034454345703,,,-9.75638883029941,,41.0,
2024-07-25 05:30:00,,,-9.286502739443227,32.847042083740234,,,,,,-9.286502739443227,,33.0
2024-07-28 17:30:00,,,,,,,-4.728508501973771,31.694595336914062,-4.728508501973771,,32.0,
2024-08-01 05:30:00,-9.952765795599806,42.19440460205078,,,,,,,,-9.952765795599806,,42.0
2024-08-02 17:30:00,,,,,-9.250825298416306,40.73178863525391,,,-9.250825298416306,,41.0,
2024-08-06 05:30:00,,,-8.867997502521881,32.842918395996094,,,,,,-8.867997502521881,,33.0
2024-08-09 17:30:00,,,,,,,-6.102473705186924,31.698156356811523,-6.102473705186924,,32.0,
2024-08-13 05:30:00,-10.21599420093566,42.070350646972656,,,,,,,,-10.21599420093566,,42.0
2024-08-14 17:30:00,,,,,-10.640522115806144,40.7331657409668,,,-10.640522115806144,,41.0,
2024-08-18 05:30:00,,,-9.026004604742838,32.8433952331543,,,,,,-9.026004604742838,,33.0
2024-08-21 17:30:00,,,,,,,-5.310295582605002,31.701698303222656,-5.310295582605002,,32.0,
2024-08-25 05:30:00,-10.193545030196534,42.20502853393555,,,,,,,,-10.193545030196534,,42.0
2024-08-26 17:30:00,,,,,-9.895209225414192,40.74186325073242,,,-9.895209225414192,,41.0,
2024-08-30 05:30:00,,,-9.561760847536943,32.83088684082031,,,,,,-9.561760847536943,,33.0
2024-09-02 17:30:00,,,,,,,-6.583737418322318,31.702821731567383,-6.583737418322318,,32.0,
2024-09-06 05:30:00,-8.880815131519705,42.041107177734375,,,,,,,,-8.880815131519705,,42.0
2024-09-07 17:30:00,,,,,-9.713699023849832,40.73788070678711,,,-9.713699023849832,,41.0,
2024-09-11 05:30:00,,,-8.879032831280574,32.837310791015625,,,,,,-8.879032831280574,,33.0
2024-09-14 17:30:00,,,,,,,-5.0604164269612015,31.72405242919922,-5.0604164269612015,,32.0,
2024-09-18 05:30:00,-10.179836435578409,42.037689208984375,,,,,,,,-10.179836435578409,,42.0
2024-09-19 17:30:00,,,,,-10.6843572133514,40.7380485534668,,,-10.6843572133514,,41.0,
2024-09-26 17:30:00,,,,,,,-5.734842575201753,31.715412139892575,-5.734842575201753,,32.0,
